,Target in Reaction,Target,Cycle Number,Pseudo Target dRn,Target in Reaction dRn,CrossTalk %,Multiplex Combination
0,ABY-ENTEROB,ABY-ENTEROB,1.0,-2882.1290900735185,-2882.1290900735185,100.0,Multiplex1
1,ABY-ENTEROB,ABY-ENTEROB,2.0,-2781.5085937500116,-2781.5085937500116,100.0,Multiplex1
2,ABY-ENTEROB,ABY-ENTEROB,3.0,-2029.2943474264757,-2029.2943474264757,100.0,Multiplex1
3,ABY-ENTEROB,ABY-ENTEROB,4.0,-681.0176011029398,-681.0176011029398,100.0,Multiplex1
4,ABY-ENTEROB,ABY-ENTEROB,5.0,-487.553354779433,-487.553354779433,100.0,Multiplex1
5,ABY-ENTEROB,ABY-ENTEROB,6.0,-265.6203584558971,-265.6203584558971,100.0,Multiplex1
6,ABY-ENTEROB,ABY-ENTEROB,7.0,689.797012867668,689.797012867668,100.0,Multiplex1
7,ABY-ENTEROB,ABY-ENTEROB,8.0,969.1987591912039,969.1987591912039,100.0,Multiplex1
8,ABY-ENTEROB,ABY-ENTEROB,9.0,1178.4598805147107,1178.4598805147107,100.0,Multiplex1
9,ABY-ENTEROB,ABY-ENTEROB,10.0,1245.6897518382466,1245.6897518382466,100.0,Multiplex1
10,ABY-ENTEROB,ABY-ENTEROB,11.0,1256.5133731617825,1256.5133731617825,100.0,Multiplex1
11,ABY-ENTEROB,ABY-ENTEROB,12.0,556.2432444852893,556.2432444852893,100.0,Multiplex1
12,ABY-ENTEROB,ABY-ENTEROB,13.0,280.97311580882524,280.97311580882524,100.0,Multiplex1
13,ABY-ENTEROB,ABY-ENTEROB,14.0,-27.45326286763884,-27.45326286763884,100.0,Multiplex1
14,ABY-ENTEROB,ABY-ENTEROB,15.0,-85.56714154413203,-85.56714154413203,100.0,Multiplex1
15,ABY-ENTEROB,ABY-ENTEROB,16.0,-201.6653952205961,-201.6653952205961,100.0,Multiplex1
16,ABY-ENTEROB,ABY-ENTEROB,17.0,-1120.1855238970602,-1120.1855238970602,100.0,Multiplex1
17,ABY-ENTEROB,ABY-ENTEROB,18.0,-1278.5181525735534,-1278.5181525735534,100.0,Multiplex1
18,ABY-ENTEROB,ABY-ENTEROB,19.0,-1403.0695312499884,-1403.0695312499884,100.0,Multiplex1
19,ABY-ENTEROB,ABY-ENTEROB,20.0,-945.5115349264524,-945.5115349264524,100.0,Multiplex1
20,ABY-ENTEROB,ABY-ENTEROB,21.0,530.5152113970835,530.5152113970835,100.0,Multiplex1
21,ABY-ENTEROB,ABY-ENTEROB,22.0,2039.2763327205903,2039.2763327205903,100.0,Multiplex1
22,ABY-ENTEROB,ABY-ENTEROB,23.0,4943.224954044126,4943.224954044126,100.0,Multiplex1
23,ABY-ENTEROB,ABY-ENTEROB,24.0,9775.579825367662,9775.579825367662,100.0,Multiplex1
24,ABY-ENTEROB,ABY-ENTEROB,25.0,19674.46594669117,19674.46594669117,100.0,Multiplex1
25,ABY-ENTEROB,ABY-ENTEROB,26.0,37066.711443014705,37066.711443014705,100.0,Multiplex1
